Codigo unidade,Nome oficial,Nome popular,Area,Perimetro,Aberto,Legislacao,Cercamento,Telefone,Nome categoria,Ano criacao,Ano abertura,Endereco,Bairro popular,TGC,Regional,Zoneamento 2019,Bacia hidrografica
3018,Parque da Matinha,,"15282,33","542,78",Sim,Decreto Municipal n°. 6.780/1991 e Lei Municipal n°. 5.996/1991,Sim,3277-1546 / 3277-8166,Parque,1991,1991,"Rua Leoncio Chagas, 360",Uniao,NE5,Nordeste,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3019,Parque Mata das Borboletas,,"34595,85","1081,14",Sim,Decreto Municipal n°. 7.278/1992,Sim,3277-8221,Parque,1992,1995,"Rua Assuncao, 650",Sion,CS2,Centro-Sul,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3020,Parque do Bairro Planalto,,"25478,48","704,39",Sim,Decreto Municipal n°. 7.347/1992,Parcial,3277-7337,Parque,1992,1996,"Rua Sao Jose do Jacuri, 100",Planalto,N3,Norte,Preservacao Ambiental - 1,Bacia do Ribeirao do Isidoro
3021,Parque Carlos de Faria Tavares,Parque Vila Pinho,"79772,53","1480,84",Sim,Decreto Municipal n°. 7.392/1992 e Lei Municipal nº. 9.980/2010,Sim,3277-5916,Parque,1992,1992,"Av. Perimetral, 800",Distrito Industrial do Jatoba,B5,Barreiro,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3022,Parque-Escola Jardim Belmonte,,"46051,69","1529,12",Sim,Decreto Municipal n°. 7.393/1992,Parcial,3277-6737,Parque,1992,1996,"Rua Jornalista Abrahao Sadi, 380",Belmonte,NE1,Nordeste,Preservacao Ambiental - 1,Bacia do Ribeirao do Onca
3023,Parque Ecologico Renato Azeredo,,"85549,98","1551,43",Sim,Lei Municipal n°. 6.271/1992,Sim,3277-8304 / 3277-7199,Parque,1992,1996,"Rua Antonio Peregrino Nascimento, 215",Palmares,NE5,Nordeste,Preservacao Ambiental - 1,Bacia do Ribeirao do Onca
3024,Parque Rosinha Cadar,,"7195,09","358,46",Sim,Decreto Municipal n°. 7.486/1992 e Lei Municipal nº. 6.523/1994,Sim,3277-4161,Parque,1992,1994,"Rua Rodrigues Caldas, 315",Santo Agostinho,CS1,Centro-Sul,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3025,Parque Marcus Pereira de Mello,,"3321,9","238,33",Sim,Decreto Municipal n°. 7.690/1993,Sim,3277-8277,Parque,1993,1996,"Rua Doutor Jose Olimpio Borges, 120",Novo Sao Lucas,CS2,Centro-Sul,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3026,Parque Ecologico Vencesli Firmino da Silva,,20015,"592,2",Sim,Lei Municipal n°. 6.983/1995,Sim,3277-8403,Parque,1995,2010,"Rua Dos Agronomos, 285",Alipio de Melo,P4,Pampulha,Preservacao Ambiental - 1,Bacia do Ribeirao do Onca
3027,Area das nascentes da Barragem Santa Lucia,,"3565,03","295,44",Nao,Lei Municipal n°. 9.422/1997,Sim,3277-4161,Parque,1997,1997,"Rua Laplace, 110",Santa Lucia,CS4,Centro-Sul,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3028,Parque Paulo Berutti,Bosque Sao Bento I,"29744,74","837,99",Nao,Lei Municipal n°. 7.432/1998,Sim,3277-4161,Parque,1998,1998,"Rua Inspetor Jose Aparecido, 61",Sao Bento,CS4,Centro-Sul,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3029,Parque Ecologico Nova Granada,Parque do Lixao,"42507,91","1452,51",Nao,Lei Municipal nº. 7.550/1998,Nao,3277-5972,Parque,1998,1998,"Rua Industrial Jose Costa, 1100",Sao Jorge III,O3,Oeste,Zona de Especial Interesse Social - 1,Bacia do Ribeirao Arrudas
3030,Parque Fernando Sabino,Parque Fazenda da Serra,"180497,81","2774,19",Nao,Lei Municipal n°. 9.095/2005 e Decreto Municipal n°. 9.714/1998,Parcial,3277-7112,Parque,1998,1998,"Rua Aluizio Davis, 167",Paqueta,P2,Pampulha,Preservacao Ambiental - 1,Bacia do Ribeirao do Onca
3031,Parque Dona Clara,,"29639,43","944,7",Sim,,Parcial,3277-7112,Parque,1998,1998,"Rua Ministro Orozimbo Nonato, 470",Dona Clara,P3,Pampulha,Preservacao Ambiental - 1,Bacia do Ribeirao do Onca
3032,Parque da Serra do Curral,,"408071,91","3989,35",Sim,Lei Estadual n°. 13.190/1999 e Decreto Estadual Sem Numero/2008,Parcial,3277-8120 / 3277-8121,Parque,1999,2012,"Av. Jose de Patrocinio Pontes, 1951",Mangabeiras,CS2,Centro-Sul,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3033,Parque Municipal Ismael de Oliveira Fabregas,,"10293,6","471,26",Sim,Decreto Municipal nº. 4238/1982 e Decreto Municipal n°. 9.861/1999,Sim,3277-5621,Parque,1999,1999,"Pa Ismael de Oliveira Fabregas, 400",Silveira,NE5,Nordeste,Preservacao Ambiental - 1,Bacia do Ribeirao do Onca
3034,Parque Halley Alves Bessa,,"2730,53","272,04",Sim,Lei Municipal n°. 7.750/1999,Sim,3277-5972,Parque,1999,1998,"Rua Austria, 22",Havai,O4,Oeste,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3035,Parque Ecologico Padre Alfredo Sabetta,Parque Teixeira Dias,"52376,44","1209,25",Sim,Lei Municipal nº. 7.900/1999,Nao,3277-5972,Parque,1999,2003,"Rua Antonio Teixeira Dias, 1001",Teixeira Dias,B2,Barreiro,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3036,Parque Mosteiro Tom Jobim,,"15251,96","741,04",Sim,"Lei Municipal n°. 7.791/1999, Lei Municipal n°. 8.119/2000 e Decreto Municipal n°. 18.723/2024",Sim,3277-1315,Parque,1999,2001,"Rua Doutor Ismael De Faria, 150",Luxemburgo,CS4,Centro-Sul,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3037,Parque Linear do Vale do Arrudas,Parque do Centenario,"42367,57","3581,42",Sim,,Sim,3277-8277,Parque,1999,1999,"Av. dos Andradas, 8001",Sao Geraldo,L1,Leste,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3038,Parque do Confisco,,"25725,1","852,94",Sim,,Parcial,3277-7112,Parque,1999,1999,"Rua Cecilia Magalhaes Gomes, 126",Confisco,P4,Pampulha,Zona de Especial Interesse Social - 2,Bacia do Ribeirao do Onca
3039,Parque Ecologico Maria do Socorro Moreira,Parque do Aeroporto,"96705,55","2724,01",Nao,Lei Municipal n°. 8.038/2000,Sim,,Parque,2000,2000,"Rua Bom Retiro, 232",Padre Eustaquio,NO4,Noroeste,Area de Grandes Equipamentos de Uso Coletivo,Bacia do Ribeirao Arrudas
3040,Area do vertedouro da Barragem Santa Lucia,,"8638,47","632,53",Sim,,Nao,3277-4161,Parque,2000,2000,"Rua Engenheiro Zoroastro Torres, 150",Santo Antonio,CS4,Centro-Sul,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3041,Parque da Vila Pantanal,,"10930,4","544,09",Sim,,Parcial,3277-6011,Parque,2000,2000,"Rua Geraldo Vasconcellos, 865",Estoril,O5,Oeste,Preservacao Ambiental - 1,Bacia do Ribeirao Arrudas
3042,Parque Jose Dazinho Pimenta,Parque Cenaculo,10970,"461,89",Sim,Decreto Municipal nº. 10.561/2001 e Lei Municipal nº. 9.512/2008,Sim,3277-8896,Parque,2001,2004,"Rua Jose Avelino da Silva, 30",Cenaculo,VN1,Venda Nova,Preservacao Ambiental - 1,Bacia do Ribeirao do Isidoro
3043,Parque Elias Michel Farah,,"6623,75","496,33",Sim,Lei Municipal n°. 8.212/2001,Sim,3277-5711 / 3277-5712,Parque,2001,1998,"Rua Desembargador Paulo Mota, 235",Ouro Preto,P2,Pampulha,Preservacao Ambiental - 1,Bacia do Ribeirao do Onca
3044,Jardim Botanico,,"176283,02","2602,15",Sim,,Parcial,3277-8489,Parque,2001,2001,"Av. Otacilio Negrao De Lima, 8000",Bandeirantes,P2,Pampulha,Preservacao Ambiental - 1,Bacia do Ribeirao do Onca
3045,Parque do Bairro Jardim Leblon,,"10547,98","482,63",Sim,,Sim,3277-8896,Parque,2001,2001,"Rua Maria Aline Lopes, 99",Rio Branco,VN3,Venda Nova,Preservacao Ambiental - 1,Bacia do Ribeirao do Isidoro
3046,Fernao Dias Parque Sol,Parque do Sol,"26950,39","737,55",Nao,Lei Municipal n°. 8.301/2002,Nao,3277-5621,Parque,2002,2002,"Rua Queluzita, 725",Fernao Dias,NE3,Nordeste,Preservacao Ambiental - 1,Bacia do Ribeirao do Onca
3047,Parque Cassia Eller,,"27953,92","860,9",Sim,Lei Municipal n°. 8.419/2002,Nao,3277-7112,Parque,2002,2000,"Rua Silvio Pereira Batista, 125",Paqueta,P2,Pampulha,Preservacao Ambiental - 1,Bacia do Ribeirao do Onca
